CgST,CgST,lpg0028,lpg0078,lpg0116,lpg0212,lpg0287,lpg0330,lpg0356,lpg0432,lpg0461,lpg0513,lpg0577,lpg0656,lpg0712,lpg0785,lpg0840,lpg0888,lpg0956,lpg1178,lpg1206,lpg1283,lpg1340,lpg1398,lpg1452,lpg1511,lpg1566,lpg1636,lpg1682,lpg1737,lpg1782,lpg1830,lpg1882,lpg1994,lpg2039,lpg2175,lpg2231,lpg2280,lpg2339,lpg2404,lpg2461,lpg2516,lpg2577,lpg2622,lpg2698,lpg2743,lpg2795,lpg2827,lpg2869,lpg2933,lpg2999
36,36,31.0,1.0,51.0,21.0,6.0,6.0,13.0,5.0,7.0,12.0,10.0,5.0,7.0,35.0,11.0,6.0,6.0,14.0,5.0,3.0,4.0,12.0,4.0,13.0,6.0,9.0,4.0,9.0,18.0,29.0,27.0,1.0,1.0,1.0,1.0,3.0,6.0,32.0,1.0,4.0,20.0,3.0,4.0,43.0,5.0,1.0,17.0,4.0,5.0
37,37,5.0,12.0,24.0,41.0,23.0,4.0,8.0,10.0,17.0,30.0,7.0,4.0,7.0,35.0,3.0,1.0,14.0,28.0,24.0,21.0,27.0,5.0,13.0,23.0,53.0,10.0,14.0,17.0,18.0,4.0,18.0,26.0,10.0,7.0,2.0,22.0,8.0,12.0,8.0,17.0,28.0,12.0,11.0,3.0,11.0,7.0,4.0,11.0,11.0
38,38,1.0,54.0,9.0,3.0,12.0,12.0,,36.0,13.0,1.0,46.0,13.0,27.0,11.0,54.0,17.0,49.0,30.0,31.0,19.0,13.0,17.0,54.0,6.0,10.0,42.0,28.0,34.0,22.0,17.0,31.0,44.0,18.0,45.0,17.0,36.0,10.0,44.0,13.0,29.0,12.0,30.0,58.0,25.0,27.0,22.0,31.0,18.0,27.0
39,39,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,42.0,17.0,31.0,18.0,13.0,4.0,2.0,22.0,11.0,20.0,46.0,37.0,49.0,23.0,19.0,20.0,17.0,15.0,,12.0,31.0,29.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
40,40,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,42.0,17.0,31.0,18.0,13.0,4.0,2.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,20.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
41,41,26.0,10.0,41.0,34.0,10.0,3.0,16.0,6.0,8.0,50.0,3.0,46.0,2.0,35.0,3.0,1.0,10.0,8.0,4.0,8.0,5.0,10.0,11.0,15.0,32.0,8.0,20.0,18.0,17.0,2.0,14.0,2.0,2.0,2.0,4.0,16.0,7.0,37.0,8.0,14.0,6.0,10.0,3.0,8.0,24.0,2.0,23.0,16.0,4.0
42,42,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,21.0,10.0,7.0,6.0,33.0,5.0,7.0,4.0,5.0,17.0,10.0,7.0,2.0,9.0,11.0,8.0,2.0,14.0,18.0,5.0,5.0,7.0,4.0,4.0,5.0,7.0,22.0,8.0,12.0,3.0,39.0,35.0,7.0,6.0,34.0,3.0,6.0,5.0,9.0,6.0
43,43,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,15.0,14.0,25.0,48.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,21.0,16.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
44,44,1.0,55.0,10.0,3.0,12.0,12.0,,37.0,12.0,1.0,46.0,14.0,30.0,10.0,55.0,18.0,50.0,30.0,31.0,19.0,14.0,17.0,55.0,7.0,11.0,42.0,28.0,33.0,22.0,17.0,32.0,44.0,18.0,45.0,17.0,36.0,10.0,44.0,14.0,29.0,12.0,31.0,58.0,25.0,27.0,22.0,31.0,18.0,28.0
45,45,13.0,7.0,20.0,6.0,4.0,7.0,11.0,3.0,3.0,21.0,10.0,7.0,6.0,33.0,5.0,7.0,4.0,5.0,17.0,10.0,7.0,2.0,9.0,11.0,3.0,2.0,14.0,18.0,5.0,5.0,7.0,4.0,4.0,5.0,7.0,22.0,8.0,12.0,3.0,39.0,35.0,7.0,6.0,34.0,3.0,6.0,5.0,9.0,6.0
46,46,10.0,51.0,47.0,26.0,21.0,21.0,,26.0,35.0,44.0,41.0,36.0,12.0,47.0,53.0,45.0,39.0,7.0,25.0,29.0,31.0,47.0,19.0,14.0,29.0,20.0,18.0,11.0,13.0,22.0,16.0,17.0,23.0,11.0,34.0,13.0,38.0,24.0,29.0,9.0,2.0,40.0,43.0,45.0,23.0,28.0,14.0,30.0,19.0
47,47,28.0,45.0,26.0,12.0,33.0,14.0,15.0,21.0,27.0,27.0,26.0,30.0,18.0,14.0,25.0,48.0,22.0,11.0,20.0,46.0,37.0,50.0,23.0,19.0,21.0,17.0,15.0,15.0,12.0,31.0,28.0,30.0,30.0,14.0,38.0,14.0,44.0,33.0,33.0,19.0,24.0,21.0,26.0,21.0,7.0,34.0,19.0,36.0,17.0
48,48,5.0,47.0,24.0,41.0,23.0,4.0,11.0,10.0,41.0,21.0,10.0,7.0,7.0,35.0,3.0,1.0,14.0,28.0,24.0,21.0,27.0,5.0,13.0,23.0,53.0,10.0,14.0,17.0,18.0,4.0,18.0,26.0,10.0,7.0,2.0,22.0,8.0,12.0,8.0,17.0,28.0,12.0,11.0,3.0,11.0,7.0,4.0,31.0,31.0
